synthetic_example,system,trial_id,provider,model,llm_requests,input_tokens,output_tokens,api_cost_usd,input_price_usd_per_million,output_price_usd_per_million,pricing_basis,notes
True,A0 Full,A0-axpy-s06,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17730,2399,0.014101,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-axpy-s07,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17750,2405,0.01412,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-axpy-s08,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17770,2411,0.014139,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-axpy-s09,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17790,2417,0.014158,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fir16-s00,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17810,2423,0.014178,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fir16-s01,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17830,2429,0.014197,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fir16-s02,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17850,2435,0.014216,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fir16-s03,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17870,2441,0.014235,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fir16-s04,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17890,2447,0.014254,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fir16-s05,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17910,2453,0.014274,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fir16-s06,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17930,2459,0.014293,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fir16-s07,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17950,2465,0.014312,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fir16-s08,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17970,2471,0.014331,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fir16-s09,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17990,2477,0.01435,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-moving_average-s00,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18010,2483,0.01437,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-moving_average-s01,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18030,2489,0.014389,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-moving_average-s02,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18050,2495,0.014408,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-moving_average-s03,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18070,2501,0.014427,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-moving_average-s04,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18090,2507,0.014446,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-moving_average-s05,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18110,2513,0.014466,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-moving_average-s06,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18130,2519,0.014485,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-moving_average-s07,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18150,2525,0.014504,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-moving_average-s08,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18170,2531,0.014523,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-moving_average-s09,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18190,2537,0.014542,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-dot_product-s00,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18210,2543,0.014562,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-dot_product-s01,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18230,2549,0.014581,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-dot_product-s02,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18250,2555,0.0146,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-dot_product-s03,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18270,2561,0.014619,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-dot_product-s04,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18290,2567,0.014638,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-dot_product-s05,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18310,2573,0.014658,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-dot_product-s06,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18330,2579,0.014677,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-dot_product-s07,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18350,2585,0.014696,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-dot_product-s08,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18370,2591,0.014715,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-dot_product-s09,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18390,2597,0.014734,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-matrix_multiply_4x4-s00,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18410,2603,0.014754,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-matrix_multiply_4x4-s01,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18430,2609,0.014773,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-matrix_multiply_4x4-s02,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18450,2615,0.014792,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-matrix_multiply_4x4-s03,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18470,2621,0.014811,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-matrix_multiply_4x4-s04,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18490,2627,0.01483,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-matrix_multiply_4x4-s05,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18510,2633,0.01485,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-matrix_multiply_4x4-s06,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18530,2639,0.014869,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-matrix_multiply_4x4-s07,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18550,2645,0.014888,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-matrix_multiply_4x4-s08,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18570,2651,0.014907,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-matrix_multiply_4x4-s09,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18590,2657,0.014926,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-convolution_1d-s00,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18610,2663,0.014946,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-convolution_1d-s01,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18630,2669,0.014965,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-convolution_1d-s02,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18650,2675,0.014984,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-convolution_1d-s03,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18670,2681,0.015003,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-convolution_1d-s04,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18690,2687,0.015022,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-convolution_1d-s05,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18710,2693,0.015042,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-convolution_1d-s06,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18730,2699,0.015061,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-convolution_1d-s07,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18750,2705,0.01508,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-convolution_1d-s08,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18770,2711,0.015099,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-convolution_1d-s09,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18790,2717,0.015118,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fft8-s00,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18810,2723,0.015138,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fft8-s01,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18830,2729,0.015157,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fft8-s02,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18850,2735,0.015176,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fft8-s03,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18870,2741,0.015195,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fft8-s04,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18890,2747,0.015214,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fft8-s05,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18910,2753,0.015234,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fft8-s06,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18930,2759,0.015253,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fft8-s07,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18950,2765,0.015272,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fft8-s08,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18970,2771,0.015291,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fft8-s09,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,18990,2777,0.01531,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-sobel_3x3-s00,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,19010,2783,0.01533,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-sobel_3x3-s01,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,19030,2789,0.015349,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-sobel_3x3-s02,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,19050,2795,0.015368,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-sobel_3x3-s03,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,19070,2801,0.015387,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-sobel_3x3-s04,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,19090,2807,0.015406,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-sobel_3x3-s05,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,19110,2813,0.015426,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-sobel_3x3-s06,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,19130,2819,0.015445,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
